FileName,FaceName,From,HangDang,MainColor,PuShi,InfoFacialPatten,InfoCharacter,InfoStory
ZhangBao,张苞,小桃园,Jing,Black,ShiZiMengLian,"张苞为白底黑十字门花脸，脸谱结构造型与张飞一脉相承。
但由于父亲被杀，出兵为父报仇，因而神态不似张飞笑脸，而是怒脸。眼窝上扬，有火纹，如怒火中烧。",张苞，张飞之子。在小说《三国演义》中描写张苞与关羽次子关兴结义，他和他父亲一样英俊，勇猛，剽悍。可惜正当风华正茂之时，却死于脑外伤，北伐时跌落山谷而死。,刘备得知关羽张飞二人死讯，愤而兴兵伐吴；关羽之子关兴、张飞之子张苞亦各引军请从，二人夺先锋印相争，刘备喝止，训以应效其父结为异姓兄弟，共报父仇。
XiangYu,项羽,霸王别姬,Jing,Black,SanKuaiWa,"项羽的脸谱为黑色三块瓦脸，黑色在脸谱中代表勇猛、直爽。颜色黑白分明别无它色，威严肃穆。寿字眉，钢叉脸，表现拔山盖世之勇。眉眼下拉，面带哭相，表现其为悲剧人物。
",项羽，名籍，秦末政治家，军事家。勇猛好武，随叔父项梁起义抗秦。破釜沉舟，击破秦军主力，赢得巨鹿之战。率军攻破关中，举办鸿门宴，火烧秦王宫，杀死秦王嬴子婴，自称西楚霸王。后与汉王刘邦争夺天下，自恃武力，刚愎自用，终为刘邦所败。,秦末，楚汉相争， 韩信命李左车诈降项羽，诓项羽进兵。在九里山十面埋伏，将项羽困于垓下。项羽突围不出，又听得四面楚歌，疑楚军尽已降汉，在营中与虞姬饮酒作别。虞姬自刎，项羽杀出重围，迷路，至乌江，感到无面目见江东父老，自刎江边。
YaoQi,姚期,草桥关,Jing,Black,ShiZiMengLian,姚期为黑十字门老脸，十字门黑色显示其刚正不阿。老眼窝细窄，表现老年人眯眼神态，画老眉。面部粉色为老红，表现年轻时血气方刚，老时有所衰退。,铫期，字次况。东汉大将，云台二十八将之一。铫期在冯异的举荐下投到刘秀门下，成为刘秀落难洛阳之时少数心腹之一，后来随刘秀平定河北，消灭了王郎及铜马、青犊等流民军，并长期镇守魏郡，为建立东汉立下赫赫功劳。,刘秀登基后，命铫期镇守草桥关，日久思念姚期，又命马武、杜茂、岑彭三人替回姚期。姚期入都后，其子姚刚打死郭太师，姚期绑子上殿请罪，刘秀怒而将姚期全家问斩。马武适因牛邈攻打草桥，回朝搬兵，逼刘发下赦旨，救铫期父子，使戴罪出征。
GaoWang,高旺,牧虎关,Jing,Black,ShiZiMengLian,高旺勾十字门花三块瓦脸脸谱，属将官类脸谱式。该谱较规整，要点是把眼窝的高低位置画准，与鼻窝的角度和距离根据个人脸形适当调整。神态须显英武。,虚构人物，宋代名将高怀德的后代高旺，原在杨家将帐下，因为遭奸臣陷害，贬在雅志府为民，一家失散，十几年来愤愤不平。,京剧牧虎关（一名：黑风帕；一名：背鞭认子).描写宋代名将高怀德的后代高旺，原在杨家将帐下，因为遭奸臣陷害，贬在雅志府为民，一家失散，十几年来愤愤不平。
YaoGang,姚刚,黄一刀,Jing,Black,ShiZiMengLian,姚刚脸谱承袭父姚期黑十字门脸，大面积油白显示其狂傲的性格。眉眼上扬，嘴角下撇，显示其性格暴躁善怒的一面。,有姚刚者，字霸林，性躁善怒，膂力绝大，有万夫莫敌之概。同母弟二人雄武相并于乃兄，所以气味相投，平居允称和睦，亦趋亦步，习以为常。姚刚之父有开疆拓土之军功，朝廷加以殊礼，锡爵王位，宠遇既优且渥。,京剧传统剧目。刘秀登基后，命铫期镇守草桥关，日久思念姚期，又命马武、杜茂、岑彭三人替回姚期，随朝伴驾。姚期入都后，其子姚刚打死郭太师，姚期绑子上殿请罪，刘秀怒而将姚期全家问斩。马武适因牛邈攻打草桥，回朝搬兵，闻信，闯宫保奏，逼刘发下赦旨，救铫期父子，使戴罪出征。
ZhuangZhu,专诸,鱼肠剑,Jing,Red,SanKuaiWa,专诸为标准的红色三块瓦脸。红色象征其忠肝义胆，印堂黄尖如剑形，体现其刺客身份（待考证）。,专诸，春秋时吴国人，著名刺客。,吴公子光（吴王阖闾）欲杀王僚自立，伍子胥把他推荐给公子光。公子光与专诸密谋，以宴请吴王僚为名，藏匕首于鱼腹之中进献（鱼肠剑），当场刺杀吴王僚，专诸也被吴王僚的侍卫杀死。
JingKe,荆轲,荆轲传,Jing,Red,SanKuaiWa,荆轲为标准的红色三块瓦脸。红色象征其忠肝义胆，印堂上绘一尖锐的匕首，表现其刺客身份。,荆轲，姜姓，庆氏（古时“荆”、“庆”音近），字次非 ，战国末期卫国朝歌人，战国时期著名刺客。被燕国太子丹派遣刺杀秦王嬴政，行刺失败后被杀。,燕国太子丹招募荆轲刺杀秦王。待荆轲以上宾之礼，用督亢地图并秦仇樊于期头颅，遣荆轲怀匕首赴秦诈降，谋刺秦王。燕丹与宾客俱白衣送别于易水之上。荆轲至秦后，刺秦王未中，大闹秦庭，虽未成功，千古壮其侠烈。
JiangWei,姜维,铁笼山,Jing,Red,SanKuaiWa,姜维为红色三块瓦脸谱。脸谱红色寓意忠心扶主；三块瓦凝神庄重；用圆形眼窝鼻窝高耸，额面勾画太极图，示其深谋远虑、知晓天文地理。有人释为此人弃魏投蜀，示为破脸之意。从不同的角度论证其谱，均有各自的道理。,姜维，字伯约。三国时期蜀汉名将，诸葛亮弟子。原为魏将，被诸葛亮所败后归乡。诸葛亮死后，继承伐魏大业，大战邓艾、郭淮等魏将。后蜀主刘禅投降，姜维先假意归顺，后策反魏将钟会反派，失败被杀。,姜维率兵伐魏。司马师命弟司马昭为大都督，徐质为先锋，亦率兵以御之。姜维用计杀徐质，魏兵大败，追至铁笼山。司马昭无路可走，死力拒守。盟友羌王迷当背叛，与魏将郭淮勾结。姜维兵败出逃。
LinTong,凌统,百骑劫魏营,Jing,Red,SanKuaiWa,荆轲为标准的红色三块瓦脸。红色象征其忠肝义胆。,凌统，字公绩，三国时期吴国名将。凌操之子。追随孙权攻打江夏，乌林大败曹军。后又随军攻破皖城，与吕蒙功下长沙、零陵、桂阳三郡。在与孙权攻打合肥，兵败撤军时拼死护主。,孙权在濡须口收拾军马，忽报曹操自汉中领兵四十万前来救合淝。东吴大将甘宁自告奋勇，率领百骑成功劫魏营，不折一人一骑。
PangTong,庞统,群英会,Jing,Purple,SanKuaiWa,庞统碎为军师文官，但是由于书中描写其相貌丑陋，因而其脸谱画紫色三块瓦。紫色代表其耿直、果断、沉稳。印堂太极纹意味其通晓阴阳，足智多谋。,庞统，字士元，号凤雏。东汉末年刘备帐下重要谋士，与诸葛亮同拜为军师中郎将。与刘备一同入川，于刘备与刘璋决裂之际，献上上中下三条计策，刘备用其中计。进围雒县时，庞统率众攻城，不幸中流矢而亡。,曹操谋士蒋干，与周瑜故交，请求过江劝降。周瑜将计就计，盛会隆重宴请诸将和挚友，号称“群英会”。会后详装酒醉，将伪造蔡瑁、张允投降书信置于案头。蒋干趁周瑜“熟睡”之际，盗走降书告知曹操。曹操即刻斩了蔡张两人，方知自己中计。
BaoZiAn,鲍自安,巴骆和,Jing,Pink,SanKuaiWa,鲍自安是白老三块瓦脸。白色代表人物性格狂傲不羁，眉窝下垂是为老眉，代表角色年长。,虚构人物，出自戏剧《巴骆和》。,《巴骆和》一剧讲公子骆宏勋赴山东成亲，路过酸枣岭，因言语不和，与巴家寨主巴杰造成误会，在鲍自安及和尚黄胖等江湖英雄的调解下，巴、骆两家和好。
DengAi,邓艾,坛山谷,Jing,White,SanKuaiWa,邓艾脸谱谱式为白尖三块瓦脸，邓艾的脸谱用黑色勾勒出眉、眼、嘴三个部分，形成三个瓦片状，全谱颜色简单，体现了人物的性格。,邓艾，字士载。三国时期魏国杰出的军事家。邓艾文武全才，深谙兵法，对内政也颇有建树。邓艾多年在曹魏西边战线防备蜀汉姜维。率先攻入成都，使蜀汉灭亡。后因钟会的陷害，被司马昭猜忌而被收押，后被杀害。,姜维再伐魏，邓艾引兵拒之。姜、邓斗智，邓艾先败姜维，姜维又在坛山谷设伏，故弃粮草，诱邓劫粮，邓中伏大败。
XuHuang,徐晃,走麦城,Jing,White,SanKuaiWa,徐晃为白色三块瓦，油白常用于表现武人凶横，刚愎狂傲。印堂旭日纹样表现名字中的晃和字中公明之意。,徐晃，字公明，三国时期曹魏名将。早年追随杨奉，后归顺曹操。参与徐州之战、官渡之战、关中之战、凉州之战、汉中之战等重大战役，屡立功勋。在樊城之战中，徐晃率军击退关羽，又紧随关羽展开追杀，并趁机连破关羽，彻底解除了樊城之围。,孙权联魏攻荆州，遣吕蒙督师，吕蒙以荆襄之间烽火台联接，不易得手，诈称病。陆逊献计假代吕蒙为都督。关羽轻之，不但未加戒备，且撤荆州之兵以攻樊城。吕蒙伺机占烽火台，进而袭取荆州，并约徐晃合攻，关羽大败退守麦城。乘夜突围时中伏遭擒。
CaiYang,蔡阳,古城会,Jing,White,SanKuaiWa,蔡阳为白色三块瓦，油白体现武将奸凶和狂傲。眉尾下垂，体现其年老。,蔡阳，东汉丞相曹操部下武将，汝南太守。于建安六年（201）奉曹操之命攻击与刘备联合的汝南贼龚都等人，兵败被刘备所杀。,曹操夺取徐州，刘、关、张兄弟三人，互相失散。后关公封金挂印，往河北寻兄，过关斩将，至古城，探悉张飞在此占据，命人通报。忽见后面尘土冲天，蔡阳领兵追至。张飞疑为关公勾引曹兵，来赚古城。关公无以自明，请张飞擂鼓助威，回战斩阳。
MaSu,马谡,失街亭,Jing,White,SanKuaiWa,徐晃为白色三块瓦，油白常用于表现武人凶横，刚愎狂傲。用于马谡身上，更体现其狂妄自大的性格。,马谡，字幼常，侍中马良之弟，三国时期蜀汉官员、将领。建兴六年，马谡在诸葛亮北伐时，因违背诸葛亮作战指令，而导致街亭失守，蜀军撤军后，马谡被诸葛亮处死， 另说死于狱中。,三国时，蜀魏交兵，司马懿统领魏军兵至祁山，诸葛亮料定魏军必夺汉中咽喉要地街亭，选将防守；马谡请令前往；行前，诸葛亮再三嘱咐，切须慎选营地。并命王平同往相佐。马谡刚愎自用，不听王平谏言，扎营山顶，致遭魏军围攻，街亭失守。
YuWenChengDu,宇文成都,南阳关,Jing,Yellow,SanKuaiWa,宇文成都为黄色三块瓦脸。黄色在这里表示其凶狠残暴的性格，同时因为其为奸相宇文化及之子，黄色在这还有工于心计之意。,宇文成都是隋唐系列小说中的虚构人物，身份为宇文化及的儿子，被杨广封为隋朝天宝大将军，赐“天下第一横勇无敌”金牌。武力在隋唐好汉中排第二。十八路反王进逼扬州时，其父宇文化及弑杀隋炀帝。宇文成都与宿敌李元霸战于紫金山，终被李元霸所杀。,隋炀帝命太宰伍建章起草诏书，伍建章不肯，被斩。伍建章死后，杨广知为斩草除根，遣大将韩擒虎等往讨之。宇文化及又差其子宇文成都助攻，伍云召知非其敌，其妻自尽。伍抱子突围而逃。宇文成都穷追不舍，遇朱灿假扮关帝庙中周仓，吓退成都，收养伍子。
JiLiao,姬僚,鱼肠剑,Jing,Yellow,SanKuaiWa,"姬僚属于黄三块瓦脸,表示人物凶暴残忍，工于心计。",姬僚，春秋时期吴国国君。吴王僚（？－前515年），姬姓，名僚，又名州于，吴王馀眜的庶长子。春秋时期吴国第23任君主。后被其堂弟公子光的刺客专诸刺杀。,吴公子光（吴王阖闾）欲杀王僚自立，伍子胥把他推荐给公子光。公子光与专诸密谋，以宴请吴王僚为名，藏匕首于鱼腹之中进献（鱼肠剑），当场刺杀吴王僚，专诸也被吴王僚的侍卫杀死。
DianWei,典韦,战宛城,Jing,Yellow,SanKuaiWa,典韦是黄色花三块瓦，黄色体现其凶猛强悍，三块瓦体现其忠勇。眉间绘制双戟，为其重要武器。后眼角勾云钩纹。,典韦相貌魁梧，膂力过人。本属张邈，后转投曹操，在曹操征讨吕布时被募为陷阵，表现英勇，被拜为校尉，宿卫曹操。建安二年（197年），张绣背叛曹操，典韦为保护曹操而而战死。,曹操征宛城，张绣出战不敌而降；曹操误听侄安民怂恿，掳占张婶母邹氏。张绣知而大怒，但惧典韦之勇，用贾诩之计，遣胡车盗去典之双戟，夜袭曹营。典战死，曹大败逃走，张绣刺死邹氏。
ChengYaoJing,程咬金,贾家楼,Jing,Green,SanKuaiWa,程咬金有两种脸谱：程咬金年轻时在瓦岗寨称帝之前是草寇且性格莽撞，因此由净角扮演，勾绿三块瓦脸勾绿色三块瓦脸谱；中老年时，称帝未成大统且性情懵懂滑稽，便改用了丑角。,程咬金，原名咬金，改名知节，字义贞。唐朝开国名将，凌烟阁二十四功臣之一。武德初年，归降大唐，跟随秦王李世民，破宋金刚、擒窦建德、降王世充，屡立战功，册封宿国公，参与玄武门之变。,隋末时，群雄并起，各据一方，如《贾家楼》结拜一剧诸人中，半皆唐代凌烟阁功臣，彼时均未得志，尚多作绿林豪客。此剧描写程咬金，秦琼等人在贾家楼期间发生的故事。
XiaHouDun,夏侯惇,博望坡,Jing,Blue,SanKuaiWa,夏侯惇为蓝色三块瓦，蓝色代表其刚强勇敢。左眼下有火纹，表示其左眼被射瞎。,夏侯惇，字元让。汉末三国时期曹魏名将，西汉开国元勋夏侯婴的后代。曹操起兵，夏侯惇是其最早的将领之一。与吕布军交战时，曾一度被擒为人质，又被流矢射瞎左眼。,曹操命夏侯惇攻新野，刘备求计于诸葛亮；诸葛分遣诸将设伏，张飞不服；曹兵至，诸葛亮火烧博望坡，大败曹兵，张飞心服，负荆请罪。
JiangQin,蒋钦,龙凤呈祥,Jing,Blue,SanKuaiWa,蒋钦为蓝色三块瓦，蓝色代表其刚强勇敢。,蒋钦，字公奕。汉末东吴名将。早年随孙策平定丹阳、吴郡、会稽和豫章四郡。平盗贼，迁西部都尉。讨会稽贼吕合、秦狼等，徙讨越中郎将。又与贺齐并力讨平黟贼。,孙权因刘备占据荆州不还，便设计假称以妹尚香许婚刘备。诸葛亮识破，使刘借在甘露寺见吴国太，弄假成真。刘备赘婚东吴后，周瑜以美色让其沉迷。赵云用诸葛亮所付锦囊妙计，使刘备携孙尚香同走。后周瑜率兵继至，诸葛亮已预备接应，周瑜反为张飞所败。
LvMeng,吕蒙,走麦城,Jing,Blue,SanKuaiWa,吕蒙为蓝色三块瓦，蓝色代表其刚强勇敢。,吕蒙，早年跟随孙策征战，以胆气著称。孙权统事后，吕蒙渐受重用，从破黄祖作先登，封横野中郎将。鲁肃去世后，吕蒙代守陆口，袭取荆州西部三郡，彻底击败蜀汉名将关羽。,孙权联魏攻荆州，遣吕蒙督师，吕蒙以荆襄之间烽火台联接，不易得手，诈称病。陆逊献计假代吕蒙为都督。关羽轻之，不但未加戒备，且撤荆州之兵以攻樊城。吕蒙伺机占烽火台，进而袭取荆州，并约徐晃合攻，关羽大败退守麦城。乘夜突围时中伏遭擒。
ZhangHe,张郃,长坂坡,Jing,Red,SanKuaiWa,张郃为红色三块瓦，红色代表其忠勇。眉心闪电纹是其标志。,张郃，曹魏名将。早年追随公孙瓒镇压黄巾之乱，后归顺曹操。跟随曹操攻河北，随张辽定淮南，随夏侯渊平凉州，随曹操夺汉中，屡建战功。曹丕称帝后，多次抵御诸葛亮北伐，后死于军中。, 刘备自新野撤走，在长坂坡被曹操夤夜率兵追及，与所属部队及家眷失散；赵云舍死忘生，单枪匹马冲入曹营，屡涉险境，终于万马军中救出简雍、糜竺；后又奋力拼搏，保护甘夫人及刘备幼子阿斗，突出重围。
HouYi,后羿,嫦娥奔月,Jing,Red,SanKuaiWa,"后羿脸谱谱式为红三块瓦脸,红色代表忠勇,脸谱上九个圆圈代表他所射的九个太阳。",后羿是神话虚构人物，传说其为拯救苍生，射九日。其妻为嫦娥。,"《嫦娥奔月》是梅兰芳与几位友人共同创编的中秋""应节戏""，也是梅兰芳创演的第一出古装戏。后羿获得的长生仙丹被其妻嫦娥于酒醉后吞服，后羿大怒。嫦娥逃入月宫，王母命其掌理广寒宫。中秋之夜，嫦娥与众仙在宫中欢宴。"
TaiShiCi,太史慈,群英会,Jing,Green,SanKuaiWa,太史慈为绿色花三块瓦，绿脸 象征刚勇、强横、猛烈、暴躁等性格、草莽英雄 。,太史慈，字子义。东汉末年名将，官至建昌都尉。弓马熟练，箭法精良。曾为救孔融而单骑突围向刘备求援。原为刘繇部下，后被孙策收降，自此太史慈为孙氏大将，助其扫荡江东。,曹操谋士蒋干，与周瑜故交，请求过江劝降。周瑜将计就计，盛会隆重宴请诸将和挚友，号称“群英会”。会后详装酒醉，将伪造蔡瑁、张允投降书信置于案头。蒋干趁周瑜“熟睡”之际，盗走降书告知曹操。曹操即刻斩了蔡张两人，方知自己中计。
LiMi,李密 ,断密涧,Jing,Purple,SanKuaiWa,李密为紫色三块瓦，紫色代表其耿直、果断、沉稳。脸上大面积白色，代表其不以真面目世人，内心奸诈。,李密，字玄邃，一字法主，京兆郡长安县，隋末唐初割据群雄之一。西魏名将李弼的曾孙。,《断密涧》属京剧传统剧目，一名《双投唐》，属花脸和老生的唱功戏，诸多京剧名家擅演此剧。讲的是瓦岗散将，李密先投唐后反唐，死在断密涧的故事。
CaoHong,曹洪,长坂坡,Jing,Red,SanKuaiWa,曹洪为红色花三块瓦，红色代表其忠肝义胆。,曹洪早年随曹操起兵讨伐董卓。荥阳兵败，舍命献马，救驾于危难。随军征伐四方，平兖州、征刘表、讨祝臂。官渡之战时，留守本阵，击退张郃、高览的猛攻。汉中之战时，抵御刘备，逼退张飞与马超。, 刘备自新野撤走，在长坂坡被曹操夤夜率兵追及，与所属部队及家眷失散；赵云舍死忘生，单枪匹马冲入曹营，屡涉险境，终于万马军中救出简雍、糜竺；后又奋力拼搏，保护甘夫人及刘备幼子阿斗，突出重围。
MengLiang,孟良,穆柯寨,Jing,White,SanKuaiWa,孟良脑门勾倒挂红葫芦，在鼻下勾勒一个盆式红色鼻窝。用以象征其能够使用火葫芦的特点。,孟良，北宋名将，曾授朝散郎守殿中丞，致仕骑都尉。 [1]  孟良和焦赞是杨家将中两员都以勇猛著称的大将，常常一起出场，被称为“焦不离孟，孟不离焦”。,北宋年间，宋辽开战，辽摆天门阵，杨六郎命孟良搬请五郎助破天门阵，五郎需穆柯寨的降龙木作斧柄，孟良、焦赞去索取，被寨主之女穆桂英所败。焦、孟请杨宗保助战，杨被穆擒去，孟放火烧山，又被穆用分火扇将火扇回，焦、孟大败。
ZhouCang,周仓,华容道,Jing,Red,YuanBaoLian,周仓为花元宝脸。元宝脸是指脑门和脸膛的色彩不一，其形如元宝，故叫“元宝脸”。如徐盛、麻叔谋等。 它是京剧脸谱的一种，又称半截脸。,周仓，字元福，是历史小说《三国演义》中的人物，但是在三国志中无记载。其形象为身材高大、黑面虬髯的关西大汉，本是黄巾军出身，关羽千里寻兄之时请求跟随，自此对关羽忠心不二；在听说关羽兵败被杀后，周仓也自刎而死。,曹兵临赤壁，为周瑜施火攻所败，全军覆没，狼狈北逃华容道，无法过关。曹探知为蜀将关云长所把守，又素知云长重于信义，乃苦苦哀求并陈以往日款待之义，纵之使归。云长因见其怜，果为所动，慨然允诺而释之，孟德始得逃脱。
YangYanDe,杨延德,五台山,Jing,White,Other,杨延德为僧道脸，额头上的红点表现僧道特点，眉上是多个结疤。,杨延德，杨家将小说、戏曲及民间传说中人物，金刀老令公杨业的第五子，故称“杨五郎”。金沙滩一战中只剩下自己单独应战，最后寡不敌众，削发假装僧人逃过追兵，后往五台山为僧。,金沙滩之双龙会，杨大郎代替宋王赴会，被长枪刺死。杨二郎、杨三郎，均战死沙场。杨四郎下落不明。宋王除对死者一一追封，对生者均加官晋禄。惟杨五郎看破红尘，不受官禄，决意在五台山出家。宋王及其父一再挽留，迄不动摇。
